ds,yhat,yhat_lower,yhat_upper
2021-06-15,130.4799957,123.8597906,137.1002009
2021-06-16,129.6399994,123.0216007,136.2583981
2021-06-17,130.1499939,123.5335447,136.7664431
2021-06-18,131.7899933,125.1750669,138.4049196
2021-06-21,130.4600067,123.8467626,137.0732509
2021-06-22,132.3000031,125.688157,138.9118491
2021-06-23,133.9799957,127.3696448,140.5903467
2021-06-24,133.6999969,127.0916187,140.3083752
2021-06-25,133.4100037,126.8035955,140.0164118
2021-06-28,133.1100006,126.5055598,139.7144414
2021-06-29,134.7799988,128.1770527,141.3829449
2021-06-30,136.3300018,129.7286162,142.9313875
2021-07-01,136.9600067,130.3605297,143.5594837
2021-07-02,137.2700043,130.6724867,143.8675219
2021-07-06,139.9600067,133.3632029,146.5568106
2021-07-07,142.0200043,135.4244342,148.6155743
2021-07-08,144.5700073,137.9752767,151.1647379
2021-07-09,143.2400055,136.6469369,149.8330741
2021-07-12,145.1100006,138.5182921,151.7017091
2021-07-13,144.5,137.9101934,151.0898066
2021-07-14,145.6399994,139.051932,152.2280668
2021-07-15,149.1499939,142.5617285,155.7382593
2021-07-16,148.4799957,141.8936351,155.0663564
2021-07-19,146.3899994,139.804841,152.9751577
2021-07-20,142.4499969,135.8640179,149.035976
2021-07-21,146.1499939,139.5636463,152.7363415
2021-07-22,145.3999939,138.8155441,151.9844437
2021-07-23,146.8000031,140.2171691,153.382837
2021-07-26,148.5599976,141.9785808,155.1414144
2021-07-27,148.9900055,142.4105086,155.5695024
2021-07-28,146.7700043,140.1916049,153.3484036
2021-07-29,144.9799957,138.4029908,151.5570006
2021-07-30,145.6399994,139.0648663,152.2151325
2021-08-02,145.8600006,139.2868047,152.4331965
2021-08-03,145.5200043,138.9487323,152.0912763
2021-08-04,147.3600006,140.7900859,153.9299153
2021-08-05,146.9499969,140.3819937,153.5180002
2021-08-06,147.0599976,140.4939311,153.6260641
2021-08-09,146.1399994,139.575724,152.7042748
2021-08-10,146.0899963,139.527656,152.6523367
2021-08-11,145.6000061,139.0395582,152.160454
2021-08-12,145.8600006,139.3014731,152.4185281
2021-08-13,148.8899994,142.3319102,155.4480886
2021-08-16,149.1000061,142.5437478,155.6562644
2021-08-17,151.1199951,144.5649615,157.6750287
2021-08-18,150.1900024,143.6367457,156.7432592
2021-08-19,146.3600006,139.8060728,152.9139284
2021-08-20,146.6999969,140.1480431,153.2519508
2021-08-23,148.1900024,141.6395886,154.7404163
2021-08-24,149.7100067,143.1611158,156.2588977
2021-08-25,149.6199951,143.0730212,156.1669691
2021-08-26,148.3600006,141.8146708,154.9053304
2021-08-27,147.5399933,140.9964632,154.0835234
2021-08-30,148.6000061,142.0581967,155.1418155
2021-08-31,153.1199951,146.576592,159.6633983
2021-09-01,151.8300018,145.2882245,158.3717792
2021-09-02,152.5099945,145.9700475,159.0499415
2021-09-03,153.6499939,147.1117323,160.1882555
2021-09-07,154.3000031,147.7635755,160.8364306
2021-09-08,156.6900024,150.1545016,163.2255033
2021-09-09,155.1100006,148.5759757,161.6440255
2021-09-10,154.0700073,147.5376991,160.6023156
2021-09-13,148.9700012,142.4351445,155.5048579
2021-09-14,149.5500031,143.0169887,156.0830174
2021-09-15,148.1199951,141.5885298,154.6514605
2021-09-16,149.0299988,142.5002887,155.5597089
2021-09-17,148.7899933,142.2621684,155.3178181
2021-09-20,146.0599976,139.5327943,152.5872008
2021-09-21,142.9400024,136.4130939,149.466911
2021-09-22,143.4299927,136.9048706,149.9551147
2021-09-23,145.8500061,139.3257753,152.3742369
2021-09-24,146.8300018,140.3074952,153.3525085
2021-09-27,146.9199982,140.3993766,153.4406197
2021-09-28,145.3699951,138.8508494,151.8891409
2021-09-29,141.9100037,135.3906851,148.4293222
2021-09-30,142.8300018,136.3124397,149.347564
2021-10-01,141.5,134.9840177,148.0159823
2021-10-04,142.6499939,136.1356659,149.1643219
2021-10-05,139.1399994,132.6254295,145.6545692
2021-10-06,141.1100006,134.5966737,147.6233276
2021-10-07,142,135.4884135,148.5115865
2021-10-08,143.2899933,136.7799979,149.7999886
2021-10-11,142.8999939,136.3918447,149.4081431
2021-10-12,142.8099976,136.3037174,149.3162777
2021-10-13,141.5099945,135.0052966,148.0146924
2021-10-14,140.9100037,134.4071119,147.4128954
2021-10-15,143.7599945,137.257731,150.262258
2021-10-18,144.8399963,138.3392606,151.340732
2021-10-19,146.5500031,140.0506351,153.049371
2021-10-20,148.7599945,142.2616613,155.2583277
2021-10-21,149.2599945,142.7634789,155.7565102
2021-10-22,149.4799957,142.9853304,155.974661
2021-10-25,148.6900024,142.1970886,155.1829163
2021-10-26,148.6399994,142.1489404,155.1310583
2021-10-27,149.3200073,142.830724,155.8092906
2021-10-28,148.8500061,142.3625377,155.3374745
2021-10-29,152.5700073,146.0819941,159.0580205
2021-11-01,149.8000031,143.3126026,156.2874035
2021-11-02,148.9600067,142.4743355,155.445678
2021-11-03,150.0200043,143.5359905,156.5040181
2021-11-04,151.4900055,145.0074728,157.9725382
2021-11-05,150.9600067,144.4792705,157.4407429
2021-11-08,151.2799988,144.8010878,157.7589098
2021-11-09,150.4400024,143.9628135,156.9171914
2021-11-10,150.8099976,144.3346248,157.2853703
2021-11-11,147.9199982,141.4451855,154.3948109
2021-11-12,147.8699951,141.3968901,154.3431001
2021-11-15,149.9900055,143.5179795,156.4620315
2021-11-16,150,143.5298075,156.4701925
2021-11-17,151,144.5314715,157.4685285
2021-11-18,153.4900055,147.0222658,159.9577452
2021-11-19,157.8699951,151.4008623,164.339128
2021-11-22,160.5500031,154.0814933,167.0185128
2021-11-23,161.0200043,154.5532846,167.4867239
2021-11-24,161.4100037,154.9450845,167.8749228
2021-11-26,161.9400024,155.4768606,168.4031443
2021-11-29,156.8099976,150.3442678,163.2757273
2021-11-30,160.2400055,153.7741106,166.7059004
2021-12-01,165.3000031,158.8316626,171.7683435
2021-12-02,164.7700043,158.3034381,171.2365705
2021-12-03,163.7599945,157.2950775,170.2249115
2021-12-06,161.8399963,155.3762817,168.303711
2021-12-07,165.3200073,158.8560618,171.7839529
2021-12-08,171.1799927,164.7121557,177.6478296
2021-12-09,175.0800018,168.6113585,181.5486452
2021-12-10,174.5599976,168.0932107,181.0267844
2021-12-13,179.4499969,172.9810408,185.9189531
2021-12-14,175.7400055,169.2705143,182.2094967
2021-12-15,174.3300018,167.8620496,180.797954
2021-12-16,179.3000031,172.829755,185.7702511
2021-12-17,172.2599945,165.7833252,178.7366639
2021-12-20,171.1399994,164.6649349,177.6150638
2021-12-21,169.75,163.2764251,176.2235749
2021-12-22,172.9900055,166.5164306,179.4635804
2021-12-23,175.6399994,169.1671368,182.112862
2021-12-27,176.2799988,169.8088743,182.7511232
