ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Juneteenth National Independence Day (observed),Juneteenth National Independence Day (observed)_lower,Juneteenth National Independence Day (observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-07-29,141.2884251887194,143.67177750264855,152.45777085966455,141.2884251887194,141.2884251887194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04695246660570692,0.04695246660570692,0.04695246660570692,0.0019247719999972174,0.0019247719999972174,0.0019247719999972174,0.045027694605709705,0.045027694605709705,0.045027694605709705,0.0,0.0,0.0,147.92226525416567
2021-07-30,141.60613540043727,143.74885228830797,152.37908390369748,141.60613540043727,141.60613540043727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04521204203900637,0.04521204203900637,0.04521204203900637,0.003063148655642664,0.003063148655642664,0.003063148655642664,0.0421488933833637,0.0421488933833637,0.0421488933833637,0.0,0.0,0.0,148.00843794714305
2021-08-02,142.5592661421811,143.04277750424578,151.70941688426774,142.5592661421811,142.5592661421811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035225444875840076,0.035225444875840076,0.035225444875840076,0.0022820459000897414,0.0022820459000897414,0.0022820459000897414,0.03294339897575033,0.03294339897575033,0.03294339897575033,0.0,0.0,0.0,147.58097971321268
2021-08-03,142.87697638942905,143.23431047626838,152.153965308855,142.87697638942905,142.87697638942905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033195716163196394,0.033195716163196394,0.033195716163196394,0.0034152831047071183,0.0034152831047071183,0.0034152831047071183,0.029780433058489278,0.029780433058489278,0.029780433058489278,0.0,0.0,0.0,147.61987994390824
2021-08-04,143.19468663667698,143.06676812816863,151.8156901616332,143.19468663667698,143.19468663667698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02959781496245856,0.02959781496245856,0.02959781496245856,0.0029793008258550014,0.0029793008258550014,0.0029793008258550014,0.026618514136603558,0.026618514136603558,0.026618514136603558,0.0,0.0,0.0,147.43293647535657
2021-08-05,143.51239688392494,142.75030965257812,151.7524705689733,143.51239688392494,143.51239688392494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541084877281116,0.02541084877281116,0.02541084877281116,0.0019247719999976618,0.0019247719999976618,0.0019247719999976618,0.023486076772813495,0.023486076772813495,0.023486076772813495,0.0,0.0,0.0,147.15916869816598
2021-08-06,143.83010713117287,142.85586215198092,151.84257365019303,143.83010713117287,143.83010713117287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02347372983208264,0.02347372983208264,0.02347372983208264,0.0030631486556368832,0.0030631486556368832,0.0030631486556368832,0.020410581176445758,0.020410581176445758,0.020410581176445758,0.0,0.0,0.0,147.20633620768953
2021-08-09,144.78323787291671,142.43679478551564,151.23416364420265,144.78323787291671,144.78323787291671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014058972228951543,0.014058972228951543,0.014058972228951543,0.0022820459000884967,0.0022820459000884967,0.0022820459000884967,0.011776926328863046,0.011776926328863046,0.011776926328863046,0.0,0.0,0.0,146.81874139338973
2021-08-10,145.10094812016465,142.3082370367911,151.2582771729798,145.10094812016465,145.10094812016465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012585146959752224,0.012585146959752224,0.012585146959752224,0.003415283104712742,0.003415283104712742,0.003415283104712742,0.009169863855039482,0.009169863855039482,0.009169863855039482,0.0,0.0,0.0,146.9270648762563
2021-08-11,145.4186583674126,142.07836060462606,151.3405288663388,145.4186583674126,145.4186583674126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009707659763018534,0.009707659763018534,0.009707659763018534,0.0029793008258522206,0.0029793008258522206,0.0029793008258522206,0.0067283589371663136,0.0067283589371663136,0.0067283589371663136,0.0,0.0,0.0,146.83033322603808
