changepoint_prior_scale,holidays_prior_scale,n_changepoints,seasonality_mode,seasonality_prior_scale,mse,rmse,mae,mape,r2
0.7,0.01,10,additive,0.01,87.60893774119431,9.35996462286019,8.430916931503445,0.04519625279433102,-3.569492592648918
0.7,0.01,10,additive,0.1,503.5023231504087,22.43885743861324,21.588122640092998,0.11502251599666811,-25.261591514942957
0.7,0.01,10,additive,1.0,561.4634997118584,23.695221031082585,22.816352081042584,0.12154024791026041,-28.284721047013804
0.7,0.01,10,additive,10.0,576.7096115189867,24.014779022905596,23.131752396997786,0.12321504956273721,-29.079925243818163
0.7,0.01,10,multiplicative,0.01,50.957893173083285,7.1384797522359955,5.756216078424645,0.031012035508651472,-1.6578534267732654
0.7,0.01,10,multiplicative,0.1,417.7604182465523,20.439188297154864,19.414616693725264,0.10346817395857147,-20.789479314528116
0.7,0.01,10,multiplicative,1.0,621.8156550228575,24.936231772720944,23.775814636129834,0.12660054936106455,-31.432558856195854
0.7,0.01,10,multiplicative,10.0,699.9447047975233,26.4564681089053,25.237940372245973,0.13435396618426293,-35.507601008523714
0.7,0.01,25,additive,0.01,83.10863370473074,9.116393678682966,7.8306566749612,0.04230737871728368,-3.3347664734938522
0.7,0.01,25,additive,0.1,73.62342501454249,8.58040937336573,7.159905050356919,0.03869364777823167,-2.8400385157416106
0.7,0.01,25,additive,1.0,68.36443311988984,8.26827872775766,7.0633239175140385,0.03807383072974546,-2.565740879826816
0.7,0.01,25,additive,10.0,67.82070471261602,8.235332701999113,7.281749479644743,0.039092567382737836,-2.5373811828197583
0.7,0.01,25,multiplicative,0.01,66.29813512195065,8.142366678180899,6.865825268853227,0.03710520594771603,-2.4579672480578654
0.7,0.01,25,multiplicative,0.1,85.84569935991544,9.265295427557367,8.45154602148103,0.044806678337572216,-3.477525894614871
0.7,0.01,25,multiplicative,1.0,151.26307436171464,12.29890541315424,10.464033811356192,0.05523346439175994,-6.889554600913199
0.7,0.01,25,multiplicative,10.0,197.60287535564203,14.057128986946163,11.602544019078755,0.06114567626219857,-9.306538333921186
0.7,0.01,50,additive,0.01,44.33979096764534,6.658813029935992,5.5976287198887045,0.03023076160900903,-1.3126675383827653
0.7,0.01,50,additive,0.1,106.01200192655654,10.296212989568374,9.585444402581452,0.051389911001653014,-4.529356593345668
0.7,0.01,50,additive,1.0,106.83582601735758,10.336141737483942,9.611422963492632,0.05152739127341034,-4.572325475033079
0.7,0.01,50,additive,10.0,109.71794893895738,10.474633594496629,9.782884741601674,0.05243635420902735,-4.722650769242888
0.7,0.01,50,multiplicative,0.01,30.586466282972722,5.53050325765863,4.782910098634732,0.025714745648427177,-0.5953238872525612
0.7,0.01,50,multiplicative,0.1,37.48363224435117,6.122387789445485,5.236867775990186,0.028237129532498666,-0.9550651372137484
0.7,0.01,50,multiplicative,1.0,46.98163634169835,6.854315162122205,5.736375401374964,0.030983363879802224,-1.4504604757120663
0.7,0.01,50,multiplicative,10.0,76.48212209689657,8.745405770854578,7.836631249015168,0.04216234738235401,-2.9891419688736742
0.7,0.1,10,additive,0.01,89.03884294744594,9.436039579582419,8.528914597929543,0.04571130745545079,-3.644073353660527
0.7,0.1,10,additive,0.1,450.52689805143393,21.22561890856033,20.411267742139238,0.10877395573463668,-22.49850798918107
0.7,0.1,10,additive,1.0,556.8932892833994,23.598586595035716,22.736048761156823,0.12111164478914072,-28.046348761741015
0.7,0.1,10,additive,10.0,510.01896872486674,22.583599551994954,21.741325562926153,0.1158321084058364,-25.601485645030127
0.7,0.1,10,multiplicative,0.01,48.247831538608644,6.946065903704675,5.574308826533116,0.030037928670020957,-1.5165024769314086
0.7,0.1,10,multiplicative,0.1,392.61812319932557,19.81459369251173,18.816834705071045,0.10029213793801807,-19.478111616863686
