changepoint_prior_scale,holidays_prior_scale,n_changepoints,seasonality_mode,seasonality_prior_scale,mse,rmse,mae,mape,r2
0.7,0.01,10,additive,0.01,90.41454878305821,9.508656518302583,8.599689973957013,0.04609132232829777,-3.715827192795804
0.7,0.01,10,additive,0.1,571.2570538576596,23.900984370055966,23.029231524211653,0.12266917686969164,-28.795531636421305
0.7,0.01,10,additive,1.0,533.7746806746313,23.103564241792462,22.255296972474028,0.11856385321783806,-26.840532169121346
0.7,0.01,10,additive,10.0,541.2752847810511,23.265323655196614,22.409984861670353,0.11938374916283724,-27.231747446790006
0.7,0.01,10,multiplicative,0.01,54.527211249413206,7.3842542784910385,6.033436131416287,0.03248917888219316,-1.8440213330521744
0.7,0.01,10,multiplicative,0.1,407.16768488587894,20.178396489460678,19.171992536654123,0.10218079978283058,-20.236985266826146
0.7,0.01,10,multiplicative,1.0,650.8216230244556,25.511205832426963,24.329748746757176,0.12953680462892136,-32.945447373546195
0.7,0.01,10,multiplicative,10.0,664.3811406434959,25.77559195524898,24.58058974064691,0.13086675112296062,-33.6526824675629
0.7,0.01,25,additive,0.01,94.57809358130729,9.725126918519228,8.459151473860034,0.045672199614753675,-3.9329886788871393
0.7,0.01,25,additive,0.1,71.24546492389914,8.440702869068378,7.103000916907026,0.03835328061271507,-2.7160092637044606
0.7,0.01,25,additive,1.0,72.22145219065885,8.498320551182973,7.097780006397189,0.038350677739769405,-2.766914647344116
0.7,0.01,25,additive,10.0,66.94785094886365,8.182166641474838,6.9953368774973,0.03768371331638015,-2.49185501949936
0.7,0.01,25,multiplicative,0.01,65.24727764790975,8.077578699580076,6.794722236722874,0.03671767369319134,-2.40315679643768
0.7,0.01,25,multiplicative,0.1,97.23751050376609,9.860908198729268,8.804511055293112,0.046599897129150664,-4.07169811015361
0.7,0.01,25,multiplicative,1.0,155.8148142239714,12.482580431303914,10.52550516705663,0.055530334879146916,-7.1269635014261805
0.7,0.01,25,multiplicative,10.0,229.07183226477315,15.135119169163259,12.324089022180079,0.06490528463354187,-10.947891022381512
0.7,0.01,50,additive,0.01,42.25154778989722,6.500119059670924,5.4645139077608444,0.0295101495962748,-1.2037492935279044
0.7,0.01,50,additive,0.1,93.52909797980571,9.671044306578567,8.918543881770919,0.04785323000805291,-3.8782753385092112
0.7,0.01,50,additive,1.0,102.65445813125093,10.131853637476754,9.400675508081248,0.05040236987536579,-4.354234375251141
0.7,0.01,50,additive,10.0,125.15568046643213,11.187299963191839,10.55071281291741,0.05651765305959736,-5.527849435964411
0.7,0.01,50,multiplicative,0.01,30.662098435321106,5.537336763762983,4.7627916339376615,0.025618038711357222,-0.5992686966388248
0.7,0.01,50,multiplicative,0.1,38.3482498957365,6.192596377589654,5.268914675337925,0.02841696998248838,-1.0001617227373631
0.7,0.01,50,multiplicative,1.0,54.696065411445296,7.395678833714002,6.242881662046107,0.03369790448013157,-1.8528284007160112
0.7,0.01,50,multiplicative,10.0,61.34388626327539,7.832233797792006,6.7363716629567865,0.036347890221965676,-2.1995643493863613
0.7,0.1,10,additive,0.01,92.39370615214628,9.61216448840459,8.24818559831575,0.04428259828518777,-3.8190557579503155
0.7,0.1,10,additive,0.1,489.806527670093,22.13157309524321,21.296226220824014,0.11352633411513362,-24.547248462609492
0.7,0.1,10,additive,1.0,480.47865786120104,21.919823399407235,21.075840423473352,0.11235331034161256,-24.060726960398846
0.7,0.1,10,additive,10.0,470.93537209135167,21.701045414711054,20.854479374922555,0.1111775809677592,-23.562969827859682
0.7,0.1,10,multiplicative,0.01,58.29000627155074,7.6347892093724985,5.618941567324829,0.03030574654064843,-2.0402805781089595
0.7,0.1,10,multiplicative,0.1,384.4032245772085,19.60620372681077,18.52407236664774,0.09879531946027041,-19.04964028310529
0.7,0.1,10,multiplicative,1.0,505.81659706952684,22.490366761560978,21.424921609317646,0.11416221857350355,-25.382299034100544
0.7,0.1,10,multiplicative,10.0,596.1417176412633,24.41601354933404,23.304703887116634,0.12412619149454336,-30.09346184493094
0.7,0.1,25,additive,0.01,90.19076276035699,9.496881738779155,7.972776298475689,0.04306694118502944,-3.7041549981609094
