ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-04,125.8372931776886,127.99685788603848,138.75259409014265,125.8372931776886,125.8372931776886,7.130273719666752,7.130273719666752,7.130273719666752,2.360639145272827,2.360639145272827,2.360639145272827,0.1609066514403498,0.1609066514403498,0.1609066514403498,4.608727922953574,4.608727922953574,4.608727922953574,0.0,0.0,0.0,132.96756689735534
2021-01-05,125.78802764117319,126.74536120294455,138.01172394054768,125.78802764117319,125.78802764117319,6.9002327326975745,6.9002327326975745,6.9002327326975745,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.14327975862227257,0.14327975862227257,0.14327975862227257,4.396313828802474,4.396313828802474,4.396313828802474,0.0,0.0,0.0,132.68826037387078
2021-01-06,125.73876210465775,127.25634241815145,138.14131763390384,125.73876210465775,125.73876210465775,6.693764994820675,6.693764994820675,6.693764994820675,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.15066952434564798,0.15066952434564798,0.15066952434564798,4.1824563252022,4.1824563252022,4.1824563252022,0.0,0.0,0.0,132.43252709947842
2021-01-07,125.68949656814235,126.13201769725973,137.35644833765383,125.68949656814235,125.68949656814235,6.335828873456595,6.335828873456595,6.335828873456595,2.360639145272827,2.360639145272827,2.360639145272827,0.0035525917368577796,0.0035525917368577796,0.0035525917368577796,3.9716371364469096,3.9716371364469096,3.9716371364469096,0.0,0.0,0.0,132.02532544159894
2021-01-08,125.64023103162694,126.42771049289479,137.43102662959333,125.64023103162694,125.64023103162694,6.261062537993589,6.261062537993589,6.261062537993589,2.360639145272827,2.360639145272827,2.360639145272827,0.13175222946524612,0.13175222946524612,0.13175222946524612,3.7686711632555157,3.7686711632555157,3.7686711632555157,0.0,0.0,0.0,131.90129356962052
2021-01-11,125.49243442208068,125.93219027788606,136.4828270640935,125.49243442208068,125.49243442208068,5.7792508955525355,5.7792508955525355,5.7792508955525355,2.360639145272827,2.360639145272827,2.360639145272827,0.1609066514393013,0.1609066514393013,0.1609066514393013,3.257705098840406,3.257705098840406,3.257705098840406,0.0,0.0,0.0,131.2716853176332
2021-01-12,125.44316888556527,125.63315097551283,136.39547355719776,125.44316888556527,125.44316888556527,5.640891574976978,5.640891574976978,5.640891574976978,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.14327975862246842,0.14327975862246842,0.14327975862246842,3.1369726710816828,3.1369726710816828,3.1369726710816828,0.0,0.0,0.0,131.08406046054225
2021-01-13,125.39390334904985,125.18431698788747,136.4859698764385,125.39390334904985,125.39390334904985,5.560348737174234,5.560348737174234,5.560348737174234,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.15066952434559325,0.15066952434559325,0.15066952434559325,3.049040067555813,3.049040067555813,3.049040067555813,0.0,0.0,0.0,130.95425208622407
2021-01-14,125.34463781253442,125.11071801361624,136.34940223868963,125.34463781253442,125.34463781253442,5.362331612350852,5.362331612350852,5.362331612350852,2.360639145272827,2.360639145272827,2.360639145272827,0.003552591737217222,0.003552591737217222,0.003552591737217222,2.9981398753408066,2.9981398753408066,2.9981398753408066,0.0,0.0,0.0,130.70696942488527
2021-01-15,125.29537227601901,125.24836849146678,136.15114579105398,125.29537227601901,125.29537227601901,5.480327035384359,5.480327035384359,5.480327035384359,2.360639145272827,2.360639145272827,2.360639145272827,0.13175222946496762,0.13175222946496762,0.13175222946496762,2.987935660646564,2.987935660646564,2.987935660646564,0.0,0.0,0.0,130.77569931140337
