changepoint_prior_scale,holidays_prior_scale,n_changepoints,seasonality_mode,seasonality_prior_scale,mse,rmse,mae,mape,r2
0.7,0.1,10,multiplicative,1.0,623.9327078747765,24.97864503680647,23.77941434399069,0.12660495985474154,-31.542979751306667
0.7,0.1,10,multiplicative,10.0,677.5294600600891,26.029396075592864,24.797495369667402,0.13200663879039837,-34.33847035323948
0.7,0.1,25,additive,0.01,84.27023403326719,9.17988202719769,7.90788163411907,0.04271882381113778,-3.3953530327390515
0.7,0.1,25,additive,0.1,78.2878724787859,8.848043426587932,7.373112820313814,0.039878860130784656,-3.083326000856708
0.7,0.1,25,additive,1.0,79.17566329068525,8.89807076228804,7.432543431101834,0.04020424441335595,-3.1296312482822604
0.7,0.1,25,additive,10.0,74.1522299602164,8.611168907890287,7.163705063894445,0.03873049338769935,-2.8676198372884056
0.7,0.1,25,multiplicative,0.01,63.48070085320751,7.967477697063702,6.717318705342139,0.03629883124876732,-2.3110159739843366
0.7,0.1,25,multiplicative,0.1,104.40653486116058,10.217951598102262,9.036362200230066,0.04778935163377636,-4.445618905705391
0.7,0.1,25,multiplicative,1.0,173.6272981610313,13.17677115840718,11.00889947412934,0.05805061767319354,-8.056024114482796
0.7,0.1,25,multiplicative,10.0,211.15933579271206,14.531322575481974,11.919186886458055,0.06279759357887385,-10.013613971942558
0.7,0.1,50,additive,0.01,43.60795369582947,6.603631856473336,5.541284976411121,0.02992872299551414,-1.2744964900992457
0.7,0.1,50,additive,0.1,112.00367486453108,10.583178863863687,9.903156851934458,0.05307777146569099,-4.841869286839678
0.7,0.1,50,additive,1.0,114.10966756839645,10.682212671932554,9.98048787521453,0.05348408144104541,-4.951713308563965
0.7,0.1,50,additive,10.0,114.47911023514271,10.699491120382442,10.008394213410892,0.05363207653779834,-4.970982638527679
0.7,0.1,50,multiplicative,0.01,33.58961690014302,5.795655001821884,4.980892599673056,0.02682185292599729,-0.7519617241397918
0.7,0.1,50,multiplicative,0.1,33.812994235911724,5.814894172374225,5.019199617565069,0.027034340945473502,-0.7636126025487509
