ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021. 3. 9 오전 12:00:00,122.6842988,115.0625537,125.6687376,122.6842988,122.6842988,-2.252437286,-2.252437286,-2.252437286,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,-4.756356189,-4.756356189,-4.756356189,0,0,0,120.4318616
2021. 3. 10 오전 12:00:00,122.6350333,115.0853556,126.1066622,122.6350333,122.6350333,-2.09993242,-2.09993242,-2.09993242,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-4.61124109,-4.61124109,-4.61124109,0,0,0,120.5351009
2021. 3. 12 오전 12:00:00,122.5365022,115.2723458,126.6171893,122.5365022,122.5365022,-1.657978942,-1.657978942,-1.657978942,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,-4.150370316,-4.150370316,-4.150370316,0,0,0,120.8785233
2021. 3. 16 오전 12:00:00,122.4649536,116.8217321,127.695081,122.4649536,122.4649536,-0.232329411,-0.232329411,-0.232329411,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,-2.736248315,-2.736248315,-2.736248315,0,0,0,122.2326242
2021. 3. 17 오전 12:00:00,122.5412016,117.1263898,128.1629496,122.5412016,122.5412016,0.1886566089,0.1886566089,0.1886566089,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-2.322652061,-2.322652061,-2.322652061,0,0,0,122.7298582
2021. 3. 19 오전 12:00:00,122.6936975,118.2055575,129.2533202,122.6936975,122.6936975,1.019098526,1.019098526,1.019098526,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,-1.473292849,-1.473292849,-1.473292849,0,0,0,123.712796
2021. 3. 22 오전 12:00:00,122.9224414,119.7210509,131.1393917,122.9224414,122.9224414,2.285852274,2.285852274,2.285852274,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,-0.235693523,-0.235693523,-0.235693523,0,0,0,125.2082937
2021. 3. 23 오전 12:00:00,122.9986894,120.6331878,130.8047852,122.9986894,122.9986894,2.650977898,2.650977898,2.650977898,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,0.1470589937,0.1470589937,0.1470589937,0,0,0,125.6496673
2021. 3. 26 오전 12:00:00,123.2274333,121.2678645,132.2782699,123.2274333,123.2274333,3.65170079,3.65170079,3.65170079,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,1.159309415,1.159309415,1.159309415,0,0,0,126.8791341
2021. 3. 29 오전 12:00:00,123.4561773,122.5110452,133.6480639,123.4561773,123.4561773,4.459579867,4.459579867,4.459579867,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,1.93803407,1.93803407,1.93803407,0,0,0,127.9157571
