ds,yhat,yhat_lower,yhat_upper,Close,model
2021-01-04,132.49939903568583,128.1272598721431,137.0904524895003,129.41000366210938,prophet
2021-01-05,132.40810526807908,127.96307462874134,136.96163030778968,131.00999450683594,prophet
2021-01-06,132.11852648595914,127.51787882186117,136.73203327244573,126.5999984741211,prophet
2021-01-07,131.75966998181838,127.63270161940521,136.4417817446026,130.9199981689453,prophet
2021-01-08,131.70465829981447,127.24013408054395,136.12816365646265,132.0500030517578,prophet
2021-01-11,131.1406804330729,126.69196206036722,135.40635423013225,128.97999572753906,prophet
2021-01-12,131.20155252185322,126.71806210896843,135.69168714357093,128.8000030517578,prophet
2021-01-13,131.09662913388482,126.79113253507464,135.4771959143895,130.88999938964844,prophet
2021-01-14,130.95399991841361,126.42555458681034,135.5220988113323,128.91000366210938,prophet
2021-01-15,131.14593407891076,126.64975127492825,135.53053061609654,127.13999938964844,prophet
2021-01-19,131.57916176814678,126.81427758282675,135.96191345322296,127.83000183105469,prophet
2021-01-20,132.0872829859061,127.52857849358725,136.54623480701414,132.02999877929688,prophet
2021-01-21,132.2826171212318,127.68920035302995,136.92417050984358,136.8699951171875,prophet
2021-01-22,132.64068487757692,128.16013045060996,136.99731742690895,139.07000732421875,prophet
2021-01-25,133.35866803406378,128.75913885516283,137.99161403996183,142.9199981689453,prophet
2021-01-26,133.82567762649325,129.50132519421132,138.321078556857,143.16000366210938,prophet
2021-01-27,134.09663684888736,129.79448614364168,138.77217027658293,142.05999755859375,prophet
2021-01-28,134.28862654665193,129.63025817027304,138.62346419909355,137.08999633789062,prophet
2021-01-29,134.76184958165447,130.00169645382613,139.35604041236147,131.9600067138672,prophet
2021-02-01,135.50905557685192,131.1579569305295,139.8169550781715,134.13999938964844,prophet
2021-02-02,135.87192642554862,131.48951116726298,140.43728421006733,134.99000549316406,prophet
2021-02-03,135.98279730563488,131.63422101715167,140.72327857102582,133.94000244140625,prophet
2021-02-04,135.95935629945652,131.70654536770144,140.72262122030037,137.38999938964844,prophet
2021-02-05,136.16220053564683,131.47432215767725,140.72286163516895,136.75999450683594,prophet
2021-02-08,135.82057901991251,131.85344408944346,140.15500560744044,136.91000366210938,prophet
2021-02-09,135.7440006526411,131.42245320251686,140.37564419230685,136.00999450683594,prophet
2021-02-10,135.3898581511958,130.8079114402149,139.5931636439152,135.38999938964844,prophet
