ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-04,130.86096657316588,127.93249006006334,136.72573655939755,130.86096657316588,130.86096657316588,1.4128536133388614,1.4128536133388614,1.4128536133388614,0.011747368328191251,0.011747368328191251,0.011747368328191251,0.0,0.0,0.0,-0.02630716485139232,-0.02630716485139232,-0.02630716485139232,1.4274134098620626,1.4274134098620626,1.4274134098620626,0.0,0.0,0.0,132.27382018650474
2021-01-05,130.84058507451724,127.64246181881084,136.5707487791433,130.84058507451724,130.84058507451724,1.2414153564858637,1.2414153564858637,1.2414153564858637,0.011747368328191902,0.011747368328191902,0.011747368328191902,0.0,0.0,0.0,0.07052787227376728,0.07052787227376728,0.07052787227376728,1.1591401158839045,1.1591401158839045,1.1591401158839045,0.0,0.0,0.0,132.0820004310031
2021-01-06,130.8202035758686,126.99022294496422,136.44675556130733,130.8202035758686,130.8202035758686,0.9709226039965263,0.9709226039965263,0.9709226039965263,0.011747368328192554,0.011747368328192554,0.011747368328192554,0.0,0.0,0.0,0.05401170340050358,0.05401170340050358,0.05401170340050358,0.9051635322678302,0.9051635322678302,0.9051635322678302,0.0,0.0,0.0,131.7911261798651
2021-01-07,130.79982207721991,126.50887208598508,136.07673686172475,130.79982207721991,130.79982207721991,0.5840731878363997,0.5840731878363997,0.5840731878363997,0.011747368328191838,0.011747368328191838,0.011747368328191838,0.0,0.0,0.0,-0.09775296194804203,-0.09775296194804203,-0.09775296194804203,0.67007878145625,0.67007878145625,0.67007878145625,0.0,0.0,0.0,131.3838952650563
2021-01-08,130.77944057857127,126.35946390546744,135.4037556845084,130.77944057857127,130.77944057857127,0.47278461315385895,0.47278461315385895,0.47278461315385895,0.011747368328192492,0.011747368328192492,0.011747368328192492,0.0,0.0,0.0,0.0024550326330281713,0.0024550326330281713,0.0024550326330281713,0.4585822121926383,0.4585822121926383,0.4585822121926383,0.0,0.0,0.0,131.25222519172513
2021-01-11,130.71829608262533,126.08484194718025,134.9211991701935,130.71829608262533,130.71829608262533,-0.0027372508435960998,-0.0027372508435960998,-0.0027372508435960998,0.011747368328191671,0.011747368328191671,0.011747368328191671,0.0,0.0,0.0,-0.026307164851609045,-0.026307164851609045,-0.026307164851609045,0.01182254567982127,0.01182254567982127,0.01182254567982127,0.0,0.0,0.0,130.71555883178172
2021-01-12,130.69791458397668,126.29870481482662,135.58600339051566,130.69791458397668,130.69791458397668,0.02207880689074999,0.02207880689074999,0.02207880689074999,0.011747368328192325,0.011747368328192325,0.011747368328192325,0.0,0.0,0.0,0.07052787227398885,0.07052787227398885,0.07052787227398885,-0.06019643371143117,-0.06019643371143117,-0.06019643371143117,0.0,0.0,0.0,130.71999339086744
2021-01-13,130.677533085328,126.10897914626022,135.57442647501125,130.677533085328,130.677533085328,-0.02180554904467478,-0.02180554904467478,-0.02180554904467478,0.011747368328191567,0.011747368328191567,0.011747368328191567,0.0,0.0,0.0,0.0540117034004626,0.0540117034004626,0.0540117034004626,-0.08756462077332894,-0.08756462077332894,-0.08756462077332894,0.0,0.0,0.0,130.65572753628334
2021-01-14,130.65715158667936,125.89629837293994,134.8731783284884,130.65715158667936,130.65715158667936,-0.15339474541430148,-0.15339474541430148,-0.15339474541430148,0.011747368328190852,0.011747368328190852,0.011747368328190852,0.0,0.0,0.0,-0.0977529619482237,-0.0977529619482237,-0.0977529619482237,-0.06738915179426866,-0.06738915179426866,-0.06738915179426866,0.0,0.0,0.0,130.50375684126507
2021-01-15,130.63677008803072,126.10920138468332,135.2506990132591,130.63677008803072,130.63677008803072,0.016717463017878683,0.016717463017878683,0.016717463017878683,0.011747368328191505,0.011747368328191505,0.011747368328191505,0.0,0.0,0.0,0.002455032633101716,0.002455032633101716,0.002455032633101716,0.0025150620565854657,0.0025150620565854657,0.0025150620565854657,0.0,0.0,0.0,130.65348755104858
2021-01-19,130.5552440934361,126.99545475762142,135.70960368816856,130.5552440934361,130.5552440934361,0.8755281827328064,0.8755281827328064,0.8755281827328064,0.011747368328192745,0.011747368328192745,0.011747368328192745,0.0,0.0,0.0,0.07052787227397356,0.07052787227397356,0.07052787227397356,0.7932529421306401,0.7932529421306401,0.7932529421306401,0.0,0.0,0.0,131.4307722761689
2021-01-20,130.53486259478746,127.20558185109667,136.41069775755818,130.53486259478746,130.53486259478746,1.1795340892348123,1.1795340892348123,1.1795340892348123,0.011747368328192028,0.011747368328192028,0.011747368328192028,0.0,0.0,0.0,0.054011703400421614,0.054011703400421614,0.054011703400421614,1.1137750175061987,1.1137750175061987,1.1137750175061987,0.0,0.0,0.0,131.71439668402226
2021-01-21,130.5144810961388,127.6722112929221,136.15776288050068,130.5144810961388,130.5144810961388,1.3918797517185755,1.3918797517185755,1.3918797517185755,0.011747368328191274,0.011747368328191274,0.011747368328191274,0.0,0.0,0.0,-0.0977529619481637,-0.0977529619481637,-0.0977529619481637,1.4778853453385479,1.4778853453385479,1.4778853453385479,0.0,0.0,0.0,131.90636084785737
2021-01-22,130.45657330646546,127.61090315360637,136.68208155198994,130.45657330646546,130.45657330646546,1.8952160234057644,1.8952160234057644,1.8952160234057644,0.011747368328191924,0.011747368328191924,0.011747368328191924,0.0,0.0,0.0,0.002455032632794312,0.002455032632794312,0.002455032632794312,1.881013622444778,1.881013622444778,1.881013622444778,0.0,0.0,0.0,132.35178932987122
2021-01-25,130.28284993744538,129.34293318199238,137.92253219671142,130.28284993744538,130.28284993744538,3.2500085483672807,3.2500085483672807,3.2500085483672807,0.011747368328191106,0.011747368328191106,0.011747368328191106,0.0,0.0,0.0,-0.026307164851385883,-0.026307164851385883,-0.026307164851385883,3.264568344890475,3.264568344890475,3.264568344890475,0.0,0.0,0.0,133.53285848581265
2021-01-26,130.22494214777203,129.5199282032628,138.7656157173302,130.22494214777203,130.22494214777203,3.8419345252728343,3.8419345252728343,3.8419345252728343,0.011747368328191758,0.011747368328191758,0.011747368328191758,0.0,0.0,0.0,0.07052787227395826,0.07052787227395826,0.07052787227395826,3.7596592846706836,3.7596592846706836,3.7596592846706836,0.0,0.0,0.0,134.06687667304487
2021-01-27,130.16703435809868,129.89182112805386,138.9301971263095,130.16703435809868,130.16703435809868,4.323689457063752,4.323689457063752,4.323689457063752,0.011747368328191041,0.011747368328191041,0.011747368328191041,0.0,0.0,0.0,0.05401170340085524,0.05401170340085524,0.05401170340085524,4.2579303853347055,4.2579303853347055,4.2579303853347055,0.0,0.0,0.0,134.49072381516243
2021-01-28,130.10912656842532,130.2477356472049,139.6111633726646,130.10912656842532,130.10912656842532,4.66438037569147,4.66438037569147,4.66438037569147,0.011747368328191692,0.011747368328191692,0.011747368328191692,0.0,0.0,0.0,-0.09775296194822453,-0.09775296194822453,-0.09775296194822453,4.750385969311503,4.750385969311503,4.750385969311503,0.0,0.0,0.0,134.7735069441168
2021-01-29,130.05121877875197,130.84741695307196,139.55134208225036,130.05121877875197,130.05121877875197,5.241965343721018,5.241965343721018,5.241965343721018,0.011747368328192346,0.011747368328192346,0.011747368328192346,0.0,0.0,0.0,0.0024550326328486435,0.0024550326328486435,0.0024550326328486435,5.227762942759977,5.227762942759977,5.227762942759977,0.0,0.0,0.0,135.29318412247298
2021-02-01,129.8774954097319,131.33652521710692,140.78078278903038,129.8774954097319,129.8774954097319,6.461901943824383,6.461901943824383,6.461901943824383,0.011747368328191525,0.011747368328191525,0.011747368328191525,0.0,0.0,0.0,-0.026307164851502605,-0.026307164851502605,-0.026307164851502605,6.476461740347695,6.476461740347695,6.476461740347695,0.0,0.0,0.0,136.33939735355628
2021-02-02,129.81958762005854,132.2675696357661,141.55941349193012,129.81958762005854,129.81958762005854,6.884000844457279,6.884000844457279,6.884000844457279,0.01174736832819218,0.01174736832819218,0.01174736832819218,0.0,0.0,0.0,0.07052787227373024,0.07052787227373024,0.07052787227373024,6.801725603855357,6.801725603855357,6.801725603855357,0.0,0.0,0.0,136.70358846451583
2021-02-03,129.7616798303852,132.26912354863012,141.2380999676313,129.7616798303852,129.7616798303852,7.133566075834905,7.133566075834905,7.133566075834905,0.011747368328191463,0.011747368328191463,0.011747368328191463,0.0,0.0,0.0,0.05401170340081424,0.05401170340081424,0.05401170340081424,7.0678070041059,7.0678070041059,7.0678070041059,0.0,0.0,0.0,136.89524590622008
2021-02-04,129.70377204071184,132.40381897844273,141.40047278698614,129.70377204071184,129.70377204071184,7.181574447196313,7.181574447196313,7.181574447196313,0.011747368328192113,0.011747368328192113,0.011747368328192113,0.0,0.0,0.0,-0.09775296194816453,-0.09775296194816453,-0.09775296194816453,7.267580040816286,7.267580040816286,7.267580040816286,0.0,0.0,0.0,136.88534648790815
2021-02-05,129.6458642510385,132.39031466735713,141.89317109683788,129.6458642510385,129.6458642510385,7.409072112394233,7.409072112394233,7.409072112394233,0.01174736832819136,0.01174736832819136,0.01174736832819136,0.0,0.0,0.0,0.0024550326329414065,0.0024550326329414065,0.0024550326329414065,7.394869711433101,7.394869711433101,7.394869711433101,0.0,0.0,0.0,137.05493636343272
2021-02-08,129.4721408820184,132.343319698573,141.469812969217,129.4721408820184,129.4721408820184,7.282540592998147,7.282540592998147,7.282540592998147,0.011747368328191947,0.011747368328191947,0.011747368328191947,0.0,0.0,0.0,-0.02630716485139102,-0.02630716485139102,-0.02630716485139102,7.297100389521345,7.297100389521345,7.297100389521345,0.0,0.0,0.0,136.75468147501655
2021-02-09,129.4142331210568,132.14073859609596,140.9197285389868,129.4142331210568,129.4142331210568,7.178377471345493,7.178377471345493,7.178377471345493,0.011747368328192601,0.011747368328192601,0.011747368328192601,0.0,0.0,0.0,0.0705278722739518,0.0705278722739518,0.0705278722739518,7.096102230743349,7.096102230743349,7.096102230743349,0.0,0.0,0.0,136.5926105924023
2021-02-10,129.35632536009524,131.81260203681256,140.9751744346955,129.35632536009524,129.35632536009524,6.8758265998551,6.8758265998551,6.8758265998551,0.011747368328191883,0.011747368328191883,0.011747368328191883,0.0,0.0,0.0,0.054011703400574755,0.054011703400574755,0.054011703400574755,6.810067528126334,6.810067528126334,6.810067528126334,0.0,0.0,0.0,136.23215195995033
2021-02-11,129.29841759913364,131.27081749733918,139.89646116947398,129.29841759913364,129.29841759913364,6.3546185221413,6.3546185221413,6.3546185221413,0.011747368328192535,0.011747368328192535,0.011747368328192535,0.0,0.0,0.0,-0.09775296194822539,-0.09775296194822539,-0.09775296194822539,6.4406241157613335,6.4406241157613335,6.4406241157613335,0.0,0.0,0.0,135.65303612127494
