,ds,yhat,yhat_lower,yhat_upper,Close,model
0,2021-01-04,132.96756689735534,127.10923239930098,138.28634837450397,129.41000366210938,prophet
1,2021-01-05,132.68826037387078,127.43397835519443,138.28313690131978,131.00999450683594,prophet
2,2021-01-06,132.43252709947842,126.75809008052806,138.09900127507683,126.5999984741211,prophet
3,2021-01-07,132.02532544159894,126.65386993545232,137.41958066809386,130.9199981689453,prophet
4,2021-01-08,131.90129356962052,126.50850269670502,137.3460062396363,132.0500030517578,prophet
5,2021-01-11,131.2716853176332,125.93903756684817,136.74538485555115,128.97999572753906,prophet
6,2021-01-12,131.08406046054225,125.37828727550828,136.6493737489771,128.8000030517578,prophet
7,2021-01-13,130.95425208622407,125.93493856104533,136.75976980038251,130.88999938964844,prophet
8,2021-01-14,130.70696942488527,125.15402603466691,136.1299835178574,128.91000366210938,prophet
9,2021-01-15,130.77569931140337,125.20816437952683,136.28764146785264,127.13999938964844,prophet
10,2021-01-19,131.00301069270142,125.4837804706821,135.7575816499524,127.83000183105469,prophet
11,2021-01-20,131.18144123749875,125.63528751990424,136.52463276475626,132.02999877929688,prophet
12,2021-01-21,131.25009347250165,125.78359695817046,136.8355156561682,136.8699951171875,prophet
13,2021-01-22,131.63584812480946,126.03898894266437,136.93809889152584,139.07000732421875,prophet
14,2021-01-25,132.64311081758896,127.38550681961982,138.52369777992013,142.9199981689453,prophet
15,2021-01-26,133.00003894768147,127.63433024238539,138.3690449503479,143.16000366210938,prophet
16,2021-01-27,133.3941483250453,127.62578058953646,138.92035968516072,142.05999755859375,prophet
17,2021-01-28,133.637647789241,128.30845746606533,139.0741780428583,137.08999633789062,prophet
18,2021-01-29,134.15162763959464,128.75204634513727,139.9121642549772,131.9600067138672,prophet
19,2021-02-01,135.21845212110748,129.72771441913702,140.40410123660607,134.13999938964844,prophet
20,2021-02-02,135.47680071007713,129.8684510262641,141.46390663129534,134.99000549316406,prophet
21,2021-02-03,135.7109602256546,129.92646558473558,140.6336573409212,133.94000244140625,prophet
22,2021-02-04,135.73371045636225,130.3216312515243,140.87632115979798,137.38999938964844,prophet
23,2021-02-05,135.9679938457093,130.72688415431043,141.35839743001353,136.75999450683594,prophet
24,2021-02-08,135.8793403814551,130.50715764520672,141.38441415737347,136.91000366210938,prophet
25,2021-02-09,135.66533362962502,130.3373318662816,141.1585775203171,136.00999450683594,prophet
26,2021-02-10,135.39524930111088,129.8667012724141,140.81415206538642,135.38999938964844,prophet
27,2021-02-11,134.89016285245435,129.76586261701962,140.43217548613458,135.1300048828125,prophet
28,2021-02-12,134.5819349098932,129.34864154160752,140.4723401920498,135.3699951171875,prophet
29,2021-02-16,132.15210798478117,126.36923566881408,137.44997026447584,133.19000244140625,prophet
30,2021-02-17,131.4083794872732,126.20886992369863,137.16265262605665,130.83999633789062,prophet
31,2021-02-18,130.4707619614725,124.98307575917741,135.7821851112213,129.7100067138672,prophet
32,2021-02-19,129.77894628391815,124.49368911989245,134.7257421141555,129.8699951171875,prophet
33,2021-02-22,127.27609458399643,121.76960625800369,132.59076347535665,126.0,prophet
34,2021-02-23,126.42625291583772,121.30677025311894,131.98451956012877,125.86000061035156,prophet
35,2021-02-24,125.62485739171123,120.55669108843735,130.70209008747756,125.3499984741211,prophet
36,2021-02-25,124.70227778063948,119.2302307700505,130.36769815154855,120.98999786376953,prophet
37,2021-02-26,124.09755201471151,118.67616787047137,129.6265665128497,121.26000213623047,prophet
38,2021-03-01,122.26180668716395,117.06265026684788,127.89732721168646,127.79000091552734,prophet
39,2021-03-02,121.75465603489918,116.41326580060834,127.34785918971033,125.12000274658203,prophet
40,2021-03-03,121.34595123464051,116.32500424686329,126.63078838142404,122.05999755859375,prophet
41,2021-03-04,120.85864927673734,115.37743848108907,126.00141478166282,120.12999725341797,prophet
42,2021-03-05,120.72372838627676,115.15301049359866,126.07789260608294,121.41999816894531,prophet
43,2021-03-08,120.4181333691711,115.3518512562895,125.78494990131688,116.36000061035156,prophet
44,2021-03-09,120.43186156224105,114.98891870256925,126.26003748558679,121.08999633789062,prophet
45,2021-03-10,120.53510089126293,115.30443192583068,126.13440019840003,119.9800033569336,prophet
46,2021-03-11,120.5427924980113,115.21203008056992,126.07730194751372,121.95999908447266,prophet
47,2021-03-12,120.8785232972558,115.67155931585671,126.17254110518844,121.02999877929688,prophet
48,2021-03-15,121.77707969949643,116.56998336089454,127.47969420386025,123.98999786376953,prophet
49,2021-03-16,122.23262419248276,116.21627940065547,127.97327382292642,125.56999969482422,prophet
50,2021-03-17,122.7298581856823,117.51603484491295,128.35141032112801,124.76000213623047,prophet
51,2021-03-18,123.0821979323504,117.63374707072994,128.2988637437082,120.52999877929688,prophet
52,2021-03-19,123.7127960495007,118.00329676535829,128.88212004997817,119.98999786376953,prophet
53,2021-03-22,125.2082937170551,119.94410983706072,130.88811464124984,123.38999938964844,prophet
