ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2022-12-22,131.6084088786911,132.1528751796588,141.18171421160386,131.6084088786911,131.6084088786911,0.0,0.0,0.0,0.03774231741411701,0.03774231741411701,0.03774231741411701,0.0021263399999994995,0.0021263399999994995,0.0021263399999994995,0.03561597741411751,0.03561597741411751,0.03561597741411751,0.0,0.0,0.0,136.57561522095756
2022-12-23,131.3384297552695,131.77827766793462,140.67780601008218,131.3384297552695,131.3384297552695,0.0,0.0,0.0,0.0372739742740372,0.0372739742740372,0.0372739742740372,0.0026241480891480047,0.0026241480891480047,0.0026241480891480047,0.03464982618488919,0.03464982618488919,0.03464982618488919,0.0,0.0,0.0,136.23393500715983
2022-12-27,130.25851326158312,129.81052148503682,138.85648534015905,130.25851326158312,130.25851326158312,0.0,0.0,0.0,0.032571420845847666,0.032571420845847666,0.032571420845847666,0.0031903494159536655,0.0031903494159536655,0.0031903494159536655,0.029381071429894,0.029381071429894,0.029381071429894,0.0,0.0,0.0,134.50121811578057
2022-12-28,129.98853413816153,129.55564675854237,138.15557962396193,129.98853413816153,129.98853413816153,0.0,0.0,0.0,0.03086114451003468,0.03086114451003468,0.03086114451003468,0.0031604453165043475,0.0031604453165043475,0.0031604453165043475,0.027700699193530333,0.027700699193530333,0.027700699193530333,0.0,0.0,0.0,134.0001290748469
2022-12-29,129.71855501473993,128.74525007208288,137.90308528588216,129.71855501473993,129.71855501473993,0.0,0.0,0.0,0.028007076704371033,0.028007076704371033,0.028007076704371033,0.0021263400000016267,0.0021263400000016267,0.0021263400000016267,0.025880736704369408,0.025880736704369408,0.025880736704369408,0.0,0.0,0.0,133.35159253501791
2022-12-30,129.44857589131834,128.4860953290503,137.27523844731695,129.44857589131834,129.44857589131834,0.0,0.0,0.0,0.02655449317150433,0.02655449317150433,0.02655449317150433,0.0026241480891354193,0.0026241480891354193,0.0026241480891354193,0.023930345082368912,0.023930345082368912,0.023930345082368912,0.0,0.0,0.0,132.88601721588532
2023-01-03,128.36865939763197,126.19002044385745,135.5988900434368,128.36865939763197,128.36865939763197,0.0,0.0,0.0,0.01833898249010078,0.01833898249010078,0.01833898249010078,0.0031903494159563014,0.0031903494159563014,0.0031903494159563014,0.015148633074144486,0.015148633074144486,0.015148633074144486,0.0,0.0,0.0,130.72280999460287
2023-01-04,128.09868027421035,125.70330715509492,134.81860035683394,128.09868027421035,128.09868027421035,0.0,0.0,0.0,0.015984386864029893,0.015984386864029893,0.015984386864029893,0.0031604453165041046,0.0031604453165041046,0.0031604453165041046,0.012823941547525787,0.012823941547525787,0.012823941547525787,0.0,0.0,0.0,130.146259136485
2023-01-05,127.82870115078879,125.07971034945686,133.52566330211496,127.82870115078879,127.82870115078879,0.0,0.0,0.0,0.012632867366087253,0.012632867366087253,0.012632867366087253,0.002126339999992768,0.002126339999992768,0.002126339999992768,0.010506527366094484,0.010506527366094484,0.010506527366094484,0.0,0.0,0.0,129.4435441780059
2023-01-06,128.3460118974695,125.46147533877948,134.4327718972196,128.3460118974695,128.3460118974695,0.0,0.0,0.0,0.01085524738660629,0.01085524738660629,0.01085524738660629,0.0026241480891358304,0.0026241480891358304,0.0026241480891358304,0.00823109929747046,0.00823109929747046,0.00823109929747046,0.0,0.0,0.0,129.73923960770085
2023-01-09,129.89794413751167,126.05758934388557,134.85446001259882,129.89794413751167,129.89794413751167,0.0,0.0,0.0,0.004429688835846503,0.004429688835846503,0.004429688835846503,0.0023992437972108994,0.0023992437972108994,0.0023992437972108994,0.002030445038635604,0.002030445038635604,0.002030445038635604,0.0,0.0,0.0,130.47335161045703
2023-01-10,130.41525488419236,126.29227448407013,135.33873345646444,130.41525488419236,130.41525488419236,0.0,0.0,0.0,0.0034905020050539862,0.0034905020050539862,0.0034905020050539862,0.0031903494159484184,0.0031903494159484184,0.0031903494159484184,0.00030015258910556786,0.00030015258910556786,0.00030015258910556786,0.0,0.0,0.0,130.87046959285527
2023-01-11,130.93256563087309,126.81288645720356,135.6754187277824,130.93256563087309,130.93256563087309,0.0,0.0,0.0,0.0019613674115730078,0.0019613674115730078,0.0019613674115730078,0.003160445316508184,0.003160445316508184,0.003160445316508184,-0.001199077904935176,-0.001199077904935176,-0.001199077904935176,0.0,0.0,0.0,131.18937249821514
2023-01-12,131.44987637755378,126.49283511324802,135.81902025491706,131.44987637755378,131.44987637755378,0.0,0.0,0.0,-0.0003059084831684997,-0.0003059084831684997,-0.0003059084831684997,0.0021263399999977657,0.0021263399999977657,0.0021263399999977657,-0.0024322484831662654,-0.0024322484831662654,-0.0024322484831662654,0.0,0.0,0.0,131.40966474525843
2023-01-13,131.9671871242345,127.54471880012605,136.25705162000656,131.9671871242345,131.9671871242345,0.0,0.0,0.0,-0.0007432773574367516,-0.0007432773574367516,-0.0007432773574367516,0.0026241480891362407,0.0026241480891362407,0.0026241480891362407,-0.0033674254465729924,-0.0033674254465729924,-0.0033674254465729924,0.0,0.0,0.0,131.86909890212044
2023-01-17,134.03643011095733,129.42822318459469,138.26187792483296,134.03643011095733,134.03643011095733,0.0,0.0,0.0,-0.0004549666426033865,-0.0004549666426033865,-0.0004549666426033865,0.0031903494159510534,0.0031903494159510534,0.0031903494159510534,-0.00364531605855444,-0.00364531605855444,-0.00364531605855444,0.0,0.0,0.0,133.9754480063632
2023-01-18,134.55374085763805,130.19820681503109,138.97887358579487,134.55374085763805,134.55374085763805,0.0,0.0,0.0,0.0003824528325431771,0.0003824528325431771,0.0003824528325431771,0.003160445316507942,0.003160445316507942,0.003160445316507942,-0.002777992483964765,-0.002777992483964765,-0.002777992483964765,0.0,0.0,0.0,134.60520131695833
2023-01-19,135.07105160431874,130.58985469911303,139.60564867761397,135.07105160431874,135.07105160431874,0.0,0.0,0.0,0.000595541582703507,0.000595541582703507,0.000595541582703507,0.0021263399999970215,0.0021263399999970215,0.0021263399999970215,-0.0015307984172935147,-0.0015307984172935147,-0.0015307984172935147,0.0,0.0,0.0,135.1514920321686
2023-01-20,135.5883623509995,131.28544092150872,140.22316913460097,135.5883623509995,135.5883623509995,0.0,0.0,0.0,0.0027101623549075074,0.0027101623549075074,0.0027101623549075074,0.0026241480891301535,0.0026241480891301535,0.0026241480891301535,8.601426577735383e-05,8.601426577735383e-05,8.601426577735383e-05,0.0,0.0,0.0,135.95582882640673
2023-01-23,137.14029459104168,133.9533838691583,142.74797971046104,137.14029459104168,137.14029459104168,0.0,0.0,0.0,0.009336526101947093,0.009336526101947093,0.009336526101947093,0.0023992437971955593,0.0023992437971955593,0.0023992437971955593,0.0069372823047515325,0.0069372823047515325,0.0069372823047515325,0.0,0.0,0.0,138.42070853111966
2023-01-24,137.65760533772232,134.7726435811994,143.92636385288287,137.65760533772232,137.65760533772232,0.0,0.0,0.0,0.012969012168964355,0.012969012168964355,0.012969012168964355,0.0031903494159536876,0.0031903494159536876,0.0031903494159536876,0.009778662753010668,0.009778662753010668,0.009778662753010668,0.0,0.0,0.0,139.44288849649772
2023-01-25,138.17355731540087,135.94165772114712,144.7943749946701,138.17355731540087,138.17355731540087,0.0,0.0,0.0,0.0159874686318226,0.0159874686318226,0.0159874686318226,0.0031604453165063745,0.0031604453165063745,0.0031604453165063745,0.012827023315316224,0.012827023315316224,0.012827023315316224,0.0,0.0,0.0,140.3826027287282
2023-01-26,138.6895092930794,136.57194483793,145.7547205186062,138.6895092930794,138.6895092930794,0.0,0.0,0.0,0.018156564930422506,0.018156564930422506,0.018156564930422506,0.002126339999999149,0.002126339999999149,0.002126339999999149,0.01603022493042336,0.01603022493042336,0.01603022493042336,0.0,0.0,0.0,141.20763437372761
2023-01-27,139.20546127075795,137.7289422053684,146.41053016514496,139.20546127075795,139.20546127075795,0.0,0.0,0.0,0.021955376882127633,0.021955376882127633,0.021955376882127633,0.002624148089155943,0.002624148089155943,0.002624148089155943,0.01933122879297169,0.01933122879297169,0.01933122879297169,0.0,0.0,0.0,142.26176963700786
2023-01-30,140.75331720379359,141.10954138561934,149.6003643835864,140.75331720379359,140.75331720379359,0.0,0.0,0.0,0.031597819653298005,0.031597819653298005,0.031597819653298005,0.0023992437971946962,0.0023992437971946962,0.0023992437971946962,0.02919857585610331,0.02919857585610331,0.02919857585610331,0.0,0.0,0.0,145.2008151364025
2023-01-31,141.2692691814721,141.8141352132769,150.64776227378638,141.2692691814721,141.2692691814721,0.0,0.0,0.0,0.03544933972135858,0.03544933972135858,0.03544933972135858,0.003190349415951064,0.003190349415951064,0.003190349415951064,0.03225899030540752,0.03225899030540752,0.03225899030540752,0.0,0.0,0.0,146.2771714968742
2023-02-01,141.78522115915067,142.81083267481515,152.2247755901537,141.78522115915067,141.78522115915067,0.0,0.0,0.0,0.038256763479061054,0.038256763479061054,0.038256763479061054,0.003160445316509128,0.003160445316509128,0.003160445316509128,0.035096318162551925,0.035096318162551925,0.035096318162551925,0.0,0.0,0.0,147.20946482986267
2023-02-02,142.30117313682928,143.6680609734403,152.169612256426,142.30117313682928,142.30117313682928,0.0,0.0,0.0,0.03977414889192196,0.03977414889192196,0.03977414889192196,0.002126340000001276,0.002126340000001276,0.002126340000001276,0.03764780889192069,0.03764780889192069,0.03764780889192069,0.0,0.0,0.0,147.96108118466867
2023-02-03,142.8171251145078,144.3954566998015,153.16191020217838,142.8171251145078,142.8171251145078,0.0,0.0,0.0,0.04247830637005603,0.04247830637005603,0.04247830637005603,0.002624148089143358,0.002624148089143358,0.002624148089143358,0.039854158280912676,0.039854158280912676,0.039854158280912676,0.0,0.0,0.0,148.88375471001248
2023-02-06,144.36498104754344,146.5884988502522,155.4872213951464,144.36498104754344,144.36498104754344,0.0,0.0,0.0,0.046285358484934605,0.046285358484934605,0.046285358484934605,0.002399243797201983,0.002399243797201983,0.002399243797201983,0.04388611468773262,0.04388611468773262,0.04388611468773262,0.0,0.0,0.0,151.04696594799975
